zipcode,plus4_code,Count_ICE_Type,Count_PHEV_Type,Count_BEV_Type
90002,3140,6,0,0
90002,3141,5,0,0
90002,3142,10,0,0
90002,3143,11,0,0
90002,3144,6,0,0
90002,3145,10,0,0
90002,3146,11,0,0
90002,3150,6,0,0
90002,3152,11,0,0
90002,3154,8,0,0
90002,3155,6,0,0
90002,3162,7,0,0
90002,3166,6,1,0
90002,3167,4,0,0
90002,3169,11,0,0
90002,3175,6,0,0
90002,3177,7,0,0
90002,3180,1,0,0
90002,3201,6,0,0
90002,3202,25,0,0
90002,3203,24,0,0
90002,3204,15,0,0
90002,3205,21,0,0
90002,3206,21,0,0
90002,3207,24,0,0
90002,3208,18,0,0
90002,3209,28,0,0
90002,3210,16,0,0
90002,3211,11,0,0
90002,3212,6,1,0
90002,3213,10,0,0
90002,3214,5,0,0
90002,3215,4,0,0
90002,3216,6,0,0
90002,3217,3,0,0
90002,3218,2,0,0
90002,3219,7,0,0
90002,3220,2,0,0
90002,3221,12,0,0
90002,3222,2,0,0
90002,3223,17,0,0
90002,3224,7,0,0
90002,3225,6,0,0
90002,3226,17,0,0
90002,3227,3,0,0
90002,3228,7,0,0
90002,3229,1,0,0
90002,3230,9,0,0
90002,3231,6,0,0
90002,3232,6,0,0
90002,3233,10,0,0
90002,3234,5,0,0
90002,3235,10,0,0
90002,3236,17,0,0
90002,3237,12,0,0
90002,3238,17,0,0
90002,3239,29,0,0
90002,3240,26,0,0
90002,3241,4,0,0
90002,3242,13,0,0
90002,3243,6,0,0
90002,3244,19,0,0
90002,3245,21,0,0
90002,3246,14,0,0
90002,3247,17,0,0
90002,3248,35,0,0
90002,3249,10,0,0
90002,3251,28,0,0
90002,3252,19,0,0
90002,3253,23,0,0
90002,3254,22,0,0
90002,3255,30,0,0
90002,3256,24,0,0
90002,3257,6,0,0
90002,3258,4,0,0
90002,3259,1,0,0
90002,3260,1,0,0
90002,3261,11,0,0
90002,3262,23,0,0
90002,3263,5,0,0
90002,3264,18,0,0
90002,3301,22,0,0
90002,3302,7,0,0
90002,3305,3,0,0
90002,3309,23,0,0
90002,3310,10,0,0
90002,3311,33,0,0
90002,3312,10,0,1
90002,3313,16,0,0
90002,3314,19,0,0
90002,3315,11,0,0
90002,3316,21,0,0
90002,3327,5,0,0
90002,3329,11,1,0
90002,3331,14,0,0
90002,3332,5,0,0
90002,3333,4,0,0
90002,3334,18,0,0
90002,3335,21,0,0
90002,3337,12,0,0
90002,3339,23,0,0
90002,3340,1,0,0
90002,3342,15,0,0
90002,3352,14,0,0
90002,3353,7,0,0
90002,3354,6,0,0
90002,3355,8,0,0
90002,3356,6,0,0
90002,3357,3,0,0
90002,3359,1,0,0
90002,3401,19,0,0
90002,3402,18,0,0
90002,3403,25,0,0
90002,3404,17,0,0
90002,3407,33,0,0
90002,3408,50,0,0
90002,3409,15,0,0
90002,3410,12,0,0
90002,3411,25,2,0
90002,3412,22,0,0
90002,3416,8,0,0
90002,3417,4,0,0
90002,3418,8,0,0
90002,3419,7,0,0
90002,3421,1,0,0
90002,3423,14,0,0
90002,3424,29,0,0
90002,3425,16,0,0
90002,3426,11,0,0
90002,3427,26,0,0
90002,3428,17,0,0
90002,3429,32,0,0
90002,3430,41,0,0
90002,3431,35,0,0
90002,3432,28,0,0
90002,3433,10,0,0
90002,3434,27,0,0
90002,3435,16,0,0
90002,3436,26,0,0
90002,3437,25,0,0
90002,3438,17,0,0
90002,3439,43,0,0
90002,3440,24,0,1
90002,3441,30,0,0
90002,3442,21,0,0
90002,3443,26,0,0
90002,3444,15,0,0
90002,3445,30,0,0
90002,3446,29,0,0
90002,3447,17,0,0
90002,3448,22,0,0
90002,3449,15,0,0
90002,3450,21,0,0
90002,3455,1,0,0
90002,3457,10,0,0
90002,3459,6,0,0
90002,3461,5,0,0
90002,3463,5,0,0
90002,3464,7,0,0
90002,3466,3,0,0
90002,3472,2,0,0
90002,3473,1,0,0
90002,3474,1,0,0
90002,3476,5,0,0
90002,3477,1,0,0
90002,3478,3,0,0
90002,3501,5,0,0
90002,3502,3,0,0
90002,3504,15,0,0
90002,3506,17,0,0
90002,3507,19,0,0
90002,3508,26,0,0
90002,3509,16,0,0
90002,3510,10,0,0
90002,3511,7,0,0
90002,3512,12,0,0
90002,3513,8,0,0
90002,3514,6,0,0
90002,3515,3,0,0
90002,3516,3,0,0
90002,3517,6,1,0
